transaction_id,date,amount,transaction_type,is_anomaly
TXN00001,2022-07-09,2410.35,Incoming,0
TXN00002,2025-12-28,4998.63,Incoming,0
TXN00003,2023-03-30,5828.84,Incoming,0
TXN00004,2024-02-15,4150.38,Incoming,0
TXN00005,2025-07-29,139.72,Incoming,0
TXN00006,2025-07-16,1803.76,Incoming,0
TXN00007,2025-10-24,3771.24,Outgoing,0
TXN00008,2023-03-14,2787.44,Incoming,0
TXN00009,2023-06-20,673.34,Incoming,0
TXN00010,2024-02-03,2160.01,Outgoing,0
TXN00011,2021-01-02,2230.09,Outgoing,0
TXN00012,2023-04-02,3990.51,Incoming,0
TXN00013,2024-12-23,5131.41,Incoming,0
TXN00014,2022-08-03,4486.91,Outgoing,0
TXN00015,2021-05-31,3694.2,Incoming,0
TXN00016,2022-03-01,5201.06,Incoming,0
TXN00017,2021-07-21,5299.22,Outgoing,0
TXN00018,2023-04-06,897.74,Incoming,0
TXN00019,2024-08-26,2933.35,Incoming,0
TXN00020,2021-06-16,3758.65,Outgoing,0
TXN00021,2021-09-21,7376.49,Outgoing,0
TXN00022,2021-05-10,5282.93,Incoming,0
TXN00023,2024-11-14,1706.04,Incoming,0
TXN00024,2022-06-24,2715.55,Incoming,0
TXN00025,2024-10-07,3881.28,Incoming,0
TXN00026,2022-06-29,1269.96,Incoming,0
TXN00027,2024-08-19,1658.14,Incoming,0
TXN00028,2024-05-15,45887.99,Incoming,1
TXN00029,2023-03-13,5411.32,Outgoing,0
TXN00030,2025-11-05,4270.4,Incoming,0
TXN00031,2021-11-02,584.85,Incoming,0
TXN00032,2024-02-14,2945.12,Incoming,0
TXN00033,2021-08-19,6200.38,Outgoing,0
TXN00034,2024-07-05,3790.93,Outgoing,0
TXN00035,2023-09-12,31856.33,Incoming,1
TXN00036,2021-01-17,940.63,Incoming,0
TXN00037,2022-07-16,5224.73,Incoming,0
TXN00038,2021-04-18,65200.31,Outgoing,1
TXN00039,2025-11-13,5184.09,Incoming,0
TXN00040,2022-12-31,4189.28,Incoming,0
TXN00041,2023-08-12,5811.09,Incoming,0
TXN00042,2025-12-27,5302.26,Outgoing,0
TXN00043,2025-03-31,235.52,Incoming,0
TXN00044,2025-10-01,3015.82,Incoming,0
TXN00045,2021-02-03,4083.9,Incoming,0
TXN00046,2024-06-16,4130.62,Incoming,0
TXN00047,2022-11-23,55307.65,Incoming,1
TXN00048,2025-04-16,2334.18,Incoming,0
TXN00049,2024-07-19,4069.93,Incoming,0
TXN00050,2023-01-13,49643.35,Incoming,1
TXN00051,2023-10-28,30067.56,Outgoing,1
TXN00052,2023-05-19,1596.52,Incoming,0
TXN00053,2023-01-13,4270.09,Incoming,0
TXN00054,2024-05-15,2906.49,Incoming,0
TXN00055,2025-11-19,3914.55,Outgoing,0
TXN00056,2023-03-11,4718.59,Incoming,0
TXN00057,2024-07-23,4357.03,Incoming,0
TXN00058,2023-03-03,516.68,Incoming,0
TXN00059,2021-05-21,6925.19,Outgoing,0
TXN00060,2025-10-06,3099.11,Outgoing,0
TXN00061,2022-07-31,3498.67,Incoming,0
TXN00062,2023-02-09,3985.01,Incoming,0
TXN00063,2025-08-07,2255.83,Incoming,0
TXN00064,2024-05-20,6107.03,Outgoing,0
TXN00065,2022-06-20,31272.15,Incoming,1
TXN00066,2024-02-06,6743.97,Outgoing,0
TXN00067,2024-07-30,3888.74,Incoming,0
TXN00068,2021-08-09,2043.66,Incoming,0
TXN00069,2023-07-08,906.56,Outgoing,0
TXN00070,2023-12-29,3479.71,Outgoing,0
TXN00071,2024-08-05,2366.89,Outgoing,0
TXN00072,2024-01-17,553.81,Incoming,0
TXN00073,2023-08-29,5876.9,Incoming,0
TXN00074,2025-05-31,7537.95,Outgoing,0
TXN00075,2022-04-23,6117.19,Outgoing,0
TXN00076,2021-05-25,1724.42,Outgoing,0
TXN00077,2022-10-11,5912.79,Incoming,0
TXN00078,2021-11-06,6652.23,Outgoing,0
TXN00079,2022-12-28,501.45,Incoming,0
TXN00080,2024-11-15,43315.24,Incoming,1
TXN00081,2022-09-04,6672.89,Outgoing,0
TXN00082,2022-04-04,43836.97,Incoming,1
TXN00083,2023-10-13,5973.19,Outgoing,0
TXN00084,2022-06-29,2630.79,Incoming,0
TXN00085,2025-06-16,198.79,Incoming,0
TXN00086,2021-01-13,1276.5,Incoming,0
TXN00087,2022-07-18,2961.86,Incoming,0
TXN00088,2023-01-23,218.74,Incoming,0
TXN00089,2023-10-27,4929.07,Outgoing,0
TXN00090,2025-11-02,6563.98,Outgoing,0
TXN00091,2022-04-02,1121.76,Outgoing,0
TXN00092,2025-08-02,5630.23,Outgoing,0
TXN00093,2025-04-26,2658.63,Outgoing,0
TXN00094,2023-12-26,164.16,Outgoing,0
TXN00095,2025-11-11,76137.12,Incoming,1
TXN00096,2021-06-30,5494.38,Incoming,0
TXN00097,2023-12-28,2852.21,Outgoing,0
TXN00098,2025-07-13,2915.95,Incoming,0
TXN00099,2021-10-31,4665.55,Outgoing,0
TXN00100,2024-10-10,1620.95,Outgoing,0
TXN00101,2024-07-10,5335.87,Outgoing,0
TXN00102,2025-01-14,4380.19,Outgoing,0
TXN00103,2025-03-04,7927.16,Outgoing,0
TXN00104,2021-02-01,496.4,Incoming,0
TXN00105,2021-02-21,3089.96,Outgoing,0
TXN00106,2023-08-10,1894.22,Outgoing,0
TXN00107,2024-07-16,2385.84,Incoming,0
TXN00108,2022-05-22,4577.31,Incoming,0
TXN00109,2022-06-21,812.83,Incoming,0
TXN00110,2024-02-25,2383.38,Incoming,0
TXN00111,2022-12-29,954.07,Incoming,0
TXN00112,2022-06-06,2222.35,Outgoing,0
TXN00113,2025-08-26,948.67,Outgoing,0
TXN00114,2021-11-17,34467.58,Incoming,1
TXN00115,2023-06-20,4454.55,Incoming,0
TXN00116,2024-06-07,1231.92,Incoming,0
TXN00117,2023-02-14,3874.15,Outgoing,0
TXN00118,2023-11-05,3137.78,Incoming,0
TXN00119,2024-08-20,5677.13,Outgoing,0
TXN00120,2025-01-25,7056.28,Outgoing,0
TXN00121,2022-07-19,4144.8,Outgoing,0
TXN00122,2022-08-25,3128.68,Incoming,0
TXN00123,2021-02-17,1422.55,Outgoing,0
TXN00124,2024-10-15,4419.89,Outgoing,0
TXN00125,2025-07-29,7385.89,Outgoing,0
TXN00126,2022-09-19,2544.27,Incoming,0
TXN00127,2021-04-26,5967.43,Outgoing,0
TXN00128,2024-05-07,1309.62,Incoming,0
TXN00129,2021-12-19,2629.14,Incoming,0
TXN00130,2022-06-25,3721.83,Outgoing,0
TXN00131,2021-05-01,4333.49,Outgoing,0
TXN00132,2021-08-18,4157.59,Incoming,0
TXN00133,2024-07-16,5900.9,Outgoing,0
TXN00134,2021-05-23,4241.08,Outgoing,0
TXN00135,2021-07-29,558.19,Incoming,0
TXN00136,2023-07-03,4328.73,Incoming,0
TXN00137,2024-02-26,5430.67,Incoming,0
TXN00138,2023-02-01,1482.25,Outgoing,0
TXN00139,2024-01-08,5267.36,Incoming,0
TXN00140,2025-04-22,125.22,Incoming,0
TXN00141,2025-02-17,4296.99,Outgoing,0
TXN00142,2021-10-20,4940.99,Incoming,0
TXN00143,2025-12-15,4729.75,Outgoing,0
TXN00144,2025-08-04,7577.24,Outgoing,0
TXN00145,2023-12-25,1021.78,Outgoing,0
TXN00146,2021-05-27,89476.79,Incoming,1
TXN00147,2023-08-22,1243.2,Outgoing,0
TXN00148,2025-01-25,1187.97,Outgoing,0
TXN00149,2025-06-08,3524.62,Incoming,0
TXN00150,2025-12-09,1685.35,Outgoing,0
TXN00151,2023-10-04,50050.91,Outgoing,1
TXN00152,2023-12-21,6875.03,Outgoing,0
TXN00153,2023-07-16,5144.59,Incoming,0
TXN00154,2021-06-16,4089.19,Outgoing,0
TXN00155,2021-05-03,2363.34,Outgoing,0
TXN00156,2022-02-28,5380.89,Outgoing,0
TXN00157,2023-07-22,2276.11,Incoming,0
TXN00158,2023-06-29,2885.01,Incoming,0
TXN00159,2024-08-03,5663.86,Incoming,0
TXN00160,2025-12-29,5222.19,Outgoing,0
TXN00161,2023-03-30,833.1,Outgoing,0
TXN00162,2021-09-03,35009.68,Incoming,1
TXN00163,2021-07-10,1271.88,Outgoing,0
TXN00164,2021-12-08,4698.82,Incoming,0
TXN00165,2025-07-15,2118.73,Incoming,0
TXN00166,2025-01-10,2205.38,Incoming,0
TXN00167,2023-05-09,5965.1,Incoming,0
TXN00168,2024-08-30,4930.05,Outgoing,0
TXN00169,2025-04-30,4781.26,Incoming,0
TXN00170,2022-03-12,4647.59,Incoming,0
TXN00171,2021-09-01,5300.97,Incoming,0
TXN00172,2021-11-14,5332.81,Incoming,0
TXN00173,2024-11-08,3607.67,Incoming,0
TXN00174,2024-08-14,3862.53,Outgoing,0
TXN00175,2025-11-10,44630.98,Outgoing,1
TXN00176,2024-09-19,1378.32,Incoming,0
TXN00177,2021-11-10,329.91,Incoming,0
TXN00178,2024-12-07,5002.48,Incoming,0
TXN00179,2022-03-06,5254.25,Outgoing,0
TXN00180,2022-01-08,5117.18,Incoming,0
TXN00181,2022-12-03,6836.27,Outgoing,0
TXN00182,2021-12-01,27409.62,Outgoing,1
TXN00183,2023-10-02,5519.35,Outgoing,0
TXN00184,2025-12-13,5349.51,Incoming,0
TXN00185,2025-02-15,4818.6,Incoming,0
TXN00186,2024-12-28,53777.61,Incoming,1
TXN00187,2023-02-04,5716.47,Incoming,0
TXN00188,2024-09-17,1165.51,Outgoing,0
TXN00189,2025-09-20,3183.84,Incoming,0
TXN00190,2022-12-18,2016.66,Outgoing,0
TXN00191,2021-09-20,2580.47,Incoming,0
TXN00192,2025-01-14,196.57,Outgoing,0
TXN00193,2021-09-27,7067.89,Outgoing,0
TXN00194,2023-12-09,47855.77,Outgoing,1
TXN00195,2023-12-31,1980.28,Incoming,0
TXN00196,2022-12-10,6158.11,Outgoing,0
TXN00197,2024-10-11,429.96,Incoming,0
TXN00198,2021-02-11,7788.98,Outgoing,0
TXN00199,2025-03-10,1428.67,Outgoing,0
TXN00200,2024-11-23,5958.79,Outgoing,0
TXN00201,2025-12-22,4510.27,Outgoing,0
TXN00202,2023-10-27,2620.34,Incoming,0
TXN00203,2022-12-23,5521.3,Outgoing,0
TXN00204,2024-05-18,44161.12,Incoming,1
TXN00205,2025-05-18,1629.97,Outgoing,0
TXN00206,2023-04-02,5385.25,Incoming,0
TXN00207,2025-10-21,3936.42,Incoming,0
TXN00208,2025-10-22,60567.45,Incoming,1
TXN00209,2022-07-18,724.91,Outgoing,0
TXN00210,2021-01-31,3138.68,Incoming,0
TXN00211,2022-09-01,2774.26,Outgoing,0
TXN00212,2025-05-10,2767.32,Incoming,0
TXN00213,2024-12-29,7277.96,Outgoing,0
TXN00214,2024-06-26,5072.39,Incoming,0
TXN00215,2024-01-23,7515.15,Outgoing,0
TXN00216,2025-01-02,624.1,Outgoing,0
TXN00217,2022-05-15,22783.61,Outgoing,1
TXN00218,2021-01-15,21509.71,Outgoing,1
TXN00219,2023-05-09,5590.32,Incoming,0
TXN00220,2025-11-17,3796.9,Outgoing,0
TXN00221,2023-02-23,5184.67,Outgoing,0
TXN00222,2025-05-23,2280.78,Incoming,0
TXN00223,2022-01-06,1152.94,Outgoing,0
TXN00224,2024-01-23,2821.15,Incoming,0
TXN00225,2022-07-18,885.83,Incoming,0
TXN00226,2025-06-11,1963.65,Incoming,0
TXN00227,2023-08-04,33131.82,Incoming,1
TXN00228,2022-02-27,6078.16,Outgoing,0
TXN00229,2025-02-15,220.81,Outgoing,0
TXN00230,2021-01-09,5432.83,Outgoing,0
TXN00231,2021-06-05,1302.3,Incoming,0
TXN00232,2024-03-17,5640.9,Incoming,0
TXN00233,2023-09-15,4402.59,Outgoing,0
TXN00234,2024-05-31,2715.78,Incoming,0
TXN00235,2022-05-21,38054.12,Outgoing,1
TXN00236,2024-09-23,1214.89,Incoming,0
TXN00237,2023-12-20,291.98,Outgoing,0
TXN00238,2021-07-20,1550.69,Incoming,0
TXN00239,2024-06-08,5457.02,Incoming,0
TXN00240,2025-09-03,2562.16,Outgoing,0
TXN00241,2021-06-12,840.07,Incoming,0
TXN00242,2022-06-16,1108.22,Incoming,0
TXN00243,2025-07-03,1331.38,Incoming,0
TXN00244,2021-01-14,5780.87,Incoming,0
TXN00245,2025-11-23,4392.35,Outgoing,0
TXN00246,2024-06-11,6360.4,Outgoing,0
TXN00247,2024-10-21,5472.59,Incoming,0
TXN00248,2024-01-14,6818.73,Outgoing,0
TXN00249,2022-02-03,5601.45,Incoming,0
TXN00250,2023-12-21,1123.88,Incoming,0
TXN00251,2021-08-03,4230.52,Outgoing,0
TXN00252,2022-10-15,52780.14,Incoming,1
TXN00253,2022-12-16,2777.94,Outgoing,0
TXN00254,2024-12-05,2777.79,Incoming,0
TXN00255,2023-08-08,139.72,Outgoing,0
TXN00256,2023-03-09,3792.23,Incoming,0
TXN00257,2021-06-30,5344.13,Incoming,0
TXN00258,2024-08-05,57318.89,Outgoing,1
TXN00259,2021-10-04,482.8,Outgoing,0
TXN00260,2023-01-08,3554.75,Incoming,0
TXN00261,2025-08-23,7379.26,Outgoing,0
TXN00262,2024-04-15,2081.74,Incoming,0
TXN00263,2024-02-04,1683.7,Incoming,0
TXN00264,2024-02-01,7910.7,Outgoing,0
TXN00265,2023-10-28,7250.83,Outgoing,0
TXN00266,2024-03-04,5734.63,Outgoing,0
TXN00267,2025-04-18,2286.83,Outgoing,0
TXN00268,2025-04-11,5572.07,Incoming,0
TXN00269,2025-05-13,4788.7,Incoming,0
TXN00270,2022-11-19,2878.28,Outgoing,0
TXN00271,2022-06-17,4975.88,Incoming,0
TXN00272,2022-07-27,7834.55,Outgoing,0
TXN00273,2022-05-03,5958.69,Incoming,0
TXN00274,2021-06-10,1389.95,Outgoing,0
TXN00275,2025-04-09,4232.39,Incoming,0
TXN00276,2021-11-13,784.36,Outgoing,0
TXN00277,2025-07-12,5612.85,Outgoing,0
TXN00278,2024-12-19,1891.38,Outgoing,0
TXN00279,2023-05-27,468.71,Outgoing,0
TXN00280,2023-03-19,4507.13,Incoming,0
TXN00281,2024-02-16,384.44,Incoming,0
TXN00282,2024-01-08,3131.36,Incoming,0
TXN00283,2024-06-06,72714.22,Incoming,1
TXN00284,2023-10-18,7164.57,Outgoing,0
TXN00285,2025-04-19,2631.2,Incoming,0
TXN00286,2025-02-15,4785.76,Outgoing,0
TXN00287,2022-01-16,332.49,Outgoing,0
TXN00288,2024-08-02,4950.12,Outgoing,0
TXN00289,2022-02-17,4025.71,Incoming,0
TXN00290,2023-04-08,39117.44,Outgoing,1
TXN00291,2025-08-22,1161.04,Incoming,0
TXN00292,2022-09-08,7387.76,Outgoing,0
TXN00293,2024-10-02,490.79,Incoming,0
TXN00294,2025-12-24,4342.97,Outgoing,0
TXN00295,2022-05-28,2637.77,Incoming,0
TXN00296,2022-03-09,68609.73,Incoming,1
TXN00297,2021-02-10,46660.74,Incoming,1
