transaction_id,date,amount,transaction_type,status
TXN000001,2024-12-04,14758,outgoing,normal
TXN000002,2021-05-14,15398,outgoing,normal
TXN000003,2021-09-17,1847,incoming,normal
TXN000004,2022-06-08,2322,outgoing,unsuccessful
TXN000005,2021-12-06,11604,outgoing,normal
TXN000006,2025-02-09,10104,outgoing,normal
TXN000007,2022-03-25,9654,incoming,unsuccessful
TXN000008,2023-01-03,19176,outgoing,normal
TXN000009,2022-09-21,14396,outgoing,unsuccessful
TXN000010,2023-03-29,16786,outgoing,normal
TXN000011,2021-02-20,10202,outgoing,normal
TXN000012,2021-05-20,19545,outgoing,normal
TXN000013,2022-10-23,4096,incoming,normal
TXN000014,2023-07-04,14608,outgoing,normal
TXN000015,2022-11-11,1233,incoming,normal
TXN000016,2024-08-26,9444,outgoing,unsuccessful
TXN000017,2023-06-01,8050,outgoing,normal
TXN000018,2022-09-21,18250,incoming,normal
TXN000019,2022-04-10,11683,incoming,normal
TXN000020,2024-09-25,17703,outgoing,normal
TXN000021,2025-01-15,5985,outgoing,normal
TXN000022,2021-05-23,821,incoming,normal
TXN000023,2025-08-03,16684,outgoing,normal
TXN000024,2024-09-10,16427,outgoing,normal
TXN000025,2023-05-17,17935,outgoing,normal
TXN000026,2026-02-12,9421,outgoing,normal
TXN000027,2025-02-24,18801,incoming,normal
TXN000028,2023-05-23,6531,outgoing,normal
TXN000029,2021-08-12,19020,incoming,normal
TXN000030,2021-01-14,12921,incoming,normal
TXN000031,2022-09-12,15587,incoming,normal
TXN000032,2023-11-25,1472,outgoing,unsuccessful
TXN000033,2024-08-02,7353,incoming,normal
TXN000034,2024-05-04,19927,outgoing,normal
TXN000035,2024-02-24,17419,outgoing,normal
TXN000036,2021-07-21,12836,incoming,unsuccessful
TXN000037,2025-01-14,10427,incoming,normal
TXN000038,2022-11-06,8524,incoming,normal
TXN000039,2024-04-13,6741,incoming,normal
TXN000040,2025-04-13,5158,outgoing,normal
TXN000041,2022-05-07,7654,incoming,normal
TXN000042,2023-11-12,7681,incoming,normal
TXN000043,2024-03-19,16411,outgoing,normal
TXN000044,2025-03-26,9612,outgoing,normal
TXN000045,2022-11-01,10088,outgoing,normal
TXN000046,2022-08-25,8777,incoming,normal
TXN000047,2023-08-31,16252,incoming,normal
TXN000048,2021-11-14,18571,outgoing,normal
TXN000049,2021-12-13,9703,outgoing,normal
TXN000050,2022-03-18,2973,incoming,normal
TXN000051,2023-02-07,1867,outgoing,normal
TXN000052,2023-11-08,3714,outgoing,normal
TXN000053,2023-04-09,1342,outgoing,normal
TXN000054,2024-04-17,17862,outgoing,normal
TXN000055,2023-11-28,8714,outgoing,unsuccessful
TXN000056,2024-06-22,16427,incoming,normal
TXN000057,2022-02-28,18428,outgoing,normal
TXN000058,2024-06-08,11244,outgoing,normal
TXN000059,2024-10-24,18871,outgoing,normal
TXN000060,2022-01-15,7572,incoming,unsuccessful
TXN000061,2022-05-09,8049,incoming,normal
TXN000062,2025-08-08,1616,outgoing,normal
TXN000063,2024-11-01,12161,incoming,unsuccessful
TXN000064,2021-08-20,12866,incoming,normal
TXN000065,2024-02-15,8885,incoming,normal
TXN000066,2023-09-18,16965,incoming,normal
TXN000067,2022-01-28,16309,incoming,normal
TXN000068,2024-08-14,5689,incoming,normal
TXN000069,2025-10-30,4862,incoming,normal
TXN000070,2024-12-29,6495,incoming,normal
TXN000071,2024-03-20,1039,outgoing,normal
TXN000072,2025-03-09,3499,incoming,normal
TXN000073,2026-01-05,1099,incoming,normal
TXN000074,2023-10-07,19501,outgoing,normal
TXN000075,2025-01-09,17071,incoming,normal
TXN000076,2023-02-25,12190,outgoing,normal
TXN000077,2025-07-19,9771,incoming,normal
TXN000078,2021-04-02,7027,incoming,normal
TXN000079,2025-08-14,10726,incoming,normal
TXN000080,2025-10-18,7014,outgoing,normal
TXN000081,2023-12-14,9274,outgoing,normal
TXN000082,2024-12-19,16602,outgoing,normal
TXN000083,2024-05-05,3382,incoming,normal
TXN000084,2022-05-18,12330,incoming,normal
TXN000085,2023-08-23,10332,outgoing,normal
TXN000086,2024-08-16,8779,outgoing,normal
TXN000087,2025-05-18,1006,outgoing,normal
TXN000088,2022-03-17,5436,incoming,normal
TXN000089,2021-09-18,18688,outgoing,normal
TXN000090,2023-05-05,10253,incoming,normal
TXN000091,2021-11-09,12542,incoming,normal
TXN000092,2021-12-21,15337,outgoing,normal
TXN000093,2021-10-02,15141,incoming,normal
TXN000094,2023-07-09,7602,incoming,normal
TXN000095,2022-05-08,5639,incoming,normal
TXN000096,2023-12-06,10717,outgoing,normal
TXN000097,2023-11-19,4917,incoming,normal
TXN000098,2023-12-06,16121,outgoing,normal
TXN000099,2024-02-09,2931,outgoing,normal
TXN000100,2024-09-13,18134,incoming,normal
TXN000101,2021-07-09,14155,outgoing,normal
TXN000102,2021-12-02,8389,incoming,unsuccessful
TXN000103,2021-09-11,19350,incoming,normal
TXN000104,2024-05-13,18243,incoming,normal
TXN000105,2024-01-16,10190,incoming,normal
TXN000106,2025-11-19,18366,incoming,normal
TXN000107,2022-05-19,2365,outgoing,normal
TXN000108,2022-08-27,19100,incoming,normal
TXN000109,2025-05-01,9915,outgoing,normal
TXN000110,2025-10-06,1369,outgoing,normal
TXN000111,2021-09-26,13829,outgoing,normal
TXN000112,2022-05-15,14149,outgoing,normal
TXN000113,2024-03-12,10029,incoming,normal
TXN000114,2025-09-01,10239,incoming,normal
TXN000115,2022-11-10,1880,outgoing,normal
TXN000116,2021-10-25,14622,outgoing,normal
TXN000117,2021-10-19,2505,incoming,normal
TXN000118,2023-11-17,15102,incoming,normal
TXN000119,2023-02-25,10982,outgoing,normal
TXN000120,2023-10-24,15433,outgoing,normal
TXN000121,2023-01-25,16323,outgoing,normal
TXN000122,2021-11-20,16452,incoming,normal
TXN000123,2023-10-27,12246,incoming,normal
TXN000124,2021-01-23,12435,incoming,normal
TXN000125,2021-05-30,13092,incoming,unsuccessful
TXN000126,2023-09-08,9124,incoming,normal
TXN000127,2024-02-02,19470,outgoing,normal
TXN000128,2025-08-22,4448,outgoing,normal
TXN000129,2025-03-27,19947,outgoing,normal
TXN000130,2023-03-05,8939,incoming,normal
TXN000131,2021-03-11,2745,incoming,normal
TXN000132,2024-01-25,18871,incoming,normal
TXN000133,2022-10-26,14395,incoming,normal
TXN000134,2023-05-10,3784,outgoing,normal
TXN000135,2022-10-18,16562,outgoing,normal
TXN000136,2023-08-30,2374,outgoing,normal
TXN000137,2025-10-15,7409,outgoing,normal
TXN000138,2025-05-29,17054,incoming,unsuccessful
TXN000139,2024-12-06,6848,outgoing,unsuccessful
TXN000140,2023-01-14,16044,incoming,normal
TXN000141,2023-03-26,2572,incoming,normal
TXN000142,2022-11-25,4867,outgoing,unsuccessful
TXN000143,2022-03-17,6454,outgoing,normal
TXN000144,2024-08-01,10600,incoming,normal
TXN000145,2022-06-23,17580,incoming,normal
TXN000146,2023-09-11,14888,incoming,normal
TXN000147,2024-04-22,18509,incoming,normal
TXN000148,2023-08-22,15232,incoming,normal
TXN000149,2023-04-25,15737,incoming,normal
TXN000150,2025-09-01,17139,outgoing,normal
TXN000151,2022-06-10,16502,outgoing,normal
TXN000152,2023-10-11,8906,incoming,normal
TXN000153,2021-02-26,931,outgoing,normal
TXN000154,2024-01-19,16664,outgoing,normal
TXN000155,2021-03-04,14132,incoming,normal
TXN000156,2025-11-28,17812,outgoing,normal
TXN000157,2021-02-24,2653,outgoing,normal
TXN000158,2025-04-08,8232,outgoing,normal
TXN000159,2023-12-28,14879,outgoing,normal
TXN000160,2022-03-04,19536,incoming,normal
TXN000161,2022-10-18,19812,incoming,normal
TXN000162,2025-10-16,2901,incoming,normal
TXN000163,2024-01-01,1946,outgoing,normal
TXN000164,2021-07-29,16556,incoming,normal
TXN000165,2022-04-22,12477,incoming,normal
TXN000166,2023-06-22,15576,incoming,normal
TXN000167,2022-08-26,11486,incoming,normal
TXN000168,2021-04-16,7132,outgoing,normal
TXN000169,2024-02-16,8539,incoming,normal
TXN000170,2025-10-08,3039,outgoing,normal
TXN000171,2021-03-01,9434,incoming,normal
TXN000172,2024-03-14,12793,outgoing,normal
TXN000173,2022-03-17,2266,incoming,normal
TXN000174,2024-10-24,12057,outgoing,normal
TXN000175,2024-07-31,2508,outgoing,normal
TXN000176,2025-08-27,4937,outgoing,normal
TXN000177,2021-08-01,15604,outgoing,normal
TXN000178,2025-09-12,18017,incoming,normal
TXN000179,2025-04-28,11952,outgoing,normal
TXN000180,2023-09-25,11618,incoming,normal
TXN000181,2025-11-15,4998,outgoing,normal
TXN000182,2024-02-03,1995,incoming,normal
TXN000183,2024-11-07,9570,outgoing,unsuccessful
TXN000184,2025-03-30,11192,outgoing,normal
TXN000185,2023-04-29,15585,incoming,normal
TXN000186,2023-05-17,16640,incoming,normal
TXN000187,2023-07-05,9778,outgoing,normal
TXN000188,2024-09-03,13356,outgoing,normal
TXN000189,2023-10-14,18799,outgoing,normal
TXN000190,2026-02-13,3844,incoming,normal
TXN000191,2021-03-24,13956,incoming,normal
TXN000192,2021-10-10,13209,outgoing,normal
TXN000193,2024-02-09,3662,incoming,normal
TXN000194,2024-05-13,1074,incoming,normal
TXN000195,2025-11-22,13533,outgoing,normal
TXN000196,2022-07-11,14725,outgoing,normal
TXN000197,2021-12-02,17080,outgoing,normal
TXN000198,2022-04-05,3052,outgoing,normal
TXN000199,2022-02-12,4037,incoming,normal
TXN000200,2025-06-02,6335,outgoing,normal
TXN000201,2022-01-15,14169,outgoing,normal
TXN000202,2023-06-13,5885,incoming,normal
TXN000203,2023-11-16,15546,incoming,normal
TXN000204,2025-01-12,12877,outgoing,normal
TXN000205,2024-10-05,15591,incoming,normal
TXN000206,2021-03-24,11806,outgoing,normal
TXN000207,2025-09-19,9779,incoming,normal
TXN000208,2025-04-02,9281,outgoing,normal
TXN000209,2022-01-14,14531,incoming,normal
TXN000210,2022-04-19,10438,outgoing,unsuccessful
TXN000211,2023-12-17,11678,outgoing,normal
TXN000212,2023-07-13,7168,outgoing,normal
TXN000213,2023-10-28,1429,outgoing,normal
TXN000214,2023-01-11,5812,incoming,normal
TXN000215,2022-03-28,15995,outgoing,normal
TXN000216,2021-11-07,8884,outgoing,normal
TXN000217,2021-01-25,9943,outgoing,normal
TXN000218,2026-01-03,4839,incoming,normal
TXN000219,2022-07-11,3073,incoming,normal
TXN000220,2021-05-01,1139,outgoing,normal
TXN000221,2023-10-22,10628,incoming,normal
TXN000222,2021-05-03,8114,outgoing,normal
TXN000223,2024-03-18,2026,outgoing,normal
TXN000224,2023-12-21,14903,outgoing,normal
TXN000225,2022-12-02,3703,outgoing,normal
TXN000226,2026-01-13,4445,incoming,normal
TXN000227,2025-01-16,18219,incoming,normal
TXN000228,2024-04-30,17426,incoming,normal
TXN000229,2022-04-06,2750,incoming,normal
TXN000230,2021-07-11,7148,outgoing,normal
TXN000231,2021-04-16,19848,outgoing,normal
TXN000232,2025-03-08,4172,outgoing,normal
TXN000233,2021-02-10,12956,outgoing,normal
TXN000234,2026-01-15,16097,incoming,normal
TXN000235,2022-03-13,1441,incoming,normal
TXN000236,2021-03-31,12916,incoming,normal
TXN000237,2022-12-22,19815,incoming,normal
TXN000238,2025-10-05,6476,incoming,normal
TXN000239,2024-04-27,2515,outgoing,normal
TXN000240,2025-03-29,18334,incoming,normal
TXN000241,2024-11-14,19751,outgoing,normal
TXN000242,2024-08-30,19811,incoming,normal
TXN000243,2025-06-16,887,incoming,normal
TXN000244,2022-05-05,16672,outgoing,normal
TXN000245,2024-01-27,10064,incoming,normal
TXN000246,2022-05-03,9670,incoming,normal
